Header format=1 ntrks=1 division=384
Track start
Time=0  Tempo, microseconds-per-MIDI-quarter-note=500000
Time=8076  Note on, chan=1 pitch=58 vol=76
Time=8076  Note on, chan=1 pitch=63 vol=85
Time=8080  Note on, chan=1 pitch=60 vol=89
Time=8080  Note on, chan=1 pitch=55 vol=93
Time=8308  Note on, chan=1 pitch=82 vol=0
Time=8340  Note on, chan=1 pitch=78 vol=89
Time=8400  Note on, chan=1 pitch=79 vol=103
Time=8404  Note on, chan=1 pitch=78 vol=0
Time=8884  Note on, chan=1 pitch=55 vol=0
Time=8892  Note on, chan=1 pitch=60 vol=0
Time=8900  Note on, chan=1 pitch=79 vol=0
Time=8900  Note on, chan=1 pitch=63 vol=0
Time=8908  Note on, chan=1 pitch=58 vol=0
Time=9532  Note on, chan=1 pitch=61 vol=62
Time=9536  Note on, chan=1 pitch=60 vol=67
Time=9540  Note on, chan=1 pitch=65 vol=51
Time=9544  Note on, chan=1 pitch=56 vol=49
Time=9588  Note on, chan=1 pitch=65 vol=0
Time=9588  Note on, chan=1 pitch=60 vol=0
Time=9600  Note on, chan=1 pitch=56 vol=0
Time=9600  Note on, chan=1 pitch=61 vol=0
Time=9612  Note on, chan=1 pitch=84 vol=67
Time=9688  Note on, chan=1 pitch=84 vol=0
Time=9716  Note on, chan=1 pitch=85 vol=93
Time=9796  Note on, chan=1 pitch=85 vol=0
Time=9804  Note on, chan=1 pitch=84 vol=98
Time=9892  Note on, chan=1 pitch=84 vol=0
Time=9912  Note on, chan=1 pitch=82 vol=93
Time=10000  Note on, chan=1 pitch=80 vol=93
Time=10012  Note on, chan=1 pitch=82 vol=0
Time=10092  Note on, chan=1 pitch=80 vol=0
Time=10096  Note on, chan=1 pitch=77 vol=104
Time=10188  Note on, chan=1 pitch=77 vol=0
Time=10192  Note on, chan=1 pitch=75 vol=93
Time=10212  Note on, chan=1 pitch=61 vol=82
Time=10216  Note on, chan=1 pitch=55 vol=85
Time=10220  Note on, chan=1 pitch=65 vol=76
Time=10292  Note on, chan=1 pitch=73 vol=93
Time=10308  Note on, chan=1 pitch=75 vol=0
Time=10348  Note on, chan=1 pitch=65 vol=0
Time=10352  Note on, chan=1 pitch=55 vol=0
Time=10360  Note on, chan=1 pitch=61 vol=0
Time=10384  Note on, chan=1 pitch=73 vol=0
Time=10388  Note on, chan=1 pitch=72 vol=90
Time=10452  Note on, chan=1 pitch=72 vol=0
Time=10484  Note on, chan=1 pitch=70 vol=111
Time=10572  Note on, chan=1 pitch=68 vol=82
Time=10580  Note on, chan=1 pitch=70 vol=0
Time=10644  Note on, chan=1 pitch=68 vol=0
Time=10672  Note on, chan=1 pitch=65 vol=79
Time=10716  Note on, chan=1 pitch=65 vol=0
Time=10756  Note on, chan=1 pitch=67 vol=85
Time=10764  Note on, chan=1 pitch=63 vol=59
Time=10764  Note on, chan=1 pitch=58 vol=55
Time=10768  Note on, chan=1 pitch=55 vol=67
Time=10768  Note on, chan=1 pitch=60 vol=73
Time=10952  Note on, chan=1 pitch=55 vol=0
Time=10960  Note on, chan=1 pitch=67 vol=0
Time=10964  Note on, chan=1 pitch=60 vol=0
Time=10968  Note on, chan=1 pitch=58 vol=0
Time=10968  Note on, chan=1 pitch=63 vol=0
Time=11028  Note on, chan=1 pitch=58 vol=73
Time=11032  Note on, chan=1 pitch=67 vol=89
Time=11032  Note on, chan=1 pitch=60 vol=89
Time=11036  Note on, chan=1 pitch=55 vol=85
Time=11036  Note on, chan=1 pitch=63 vol=89
Time=11068  Note on, chan=1 pitch=55 vol=0
Time=11068  Note on, chan=1 pitch=60 vol=0
Time=11080  Note on, chan=1 pitch=63 vol=0
Time=11084  Note on, chan=1 pitch=67 vol=0
Time=11088  Note on, chan=1 pitch=58 vol=0
Time=11516  Note on, chan=1 pitch=70 vol=82
Time=11528  Note on, chan=1 pitch=55 vol=76
Time=11532  Note on, chan=1 pitch=60 vol=73
Time=11532  Note on, chan=1 pitch=58 vol=59
Time=11536  Note on, chan=1 pitch=63 vol=62
Time=11656  Note on, chan=1 pitch=55 vol=0
Time=11672  Note on, chan=1 pitch=63 vol=0
Time=11672  Note on, chan=1 pitch=60 vol=0
Time=11680  Note on, chan=1 pitch=58 vol=0
Time=11700  Note on, chan=1 pitch=70 vol=0
Time=11764  Note on, chan=1 pitch=70 vol=85
Time=11768  Note on, chan=1 pitch=58 vol=62
Time=11772  Note on, chan=1 pitch=63 vol=82
Time=11772  Note on, chan=1 pitch=55 vol=89
Time=11772  Note on, chan=1 pitch=60 vol=82
Time=11832  Note on, chan=1 pitch=60 vol=0
Time=11832  Note on, chan=1 pitch=63 vol=0
Time=11844  Note on, chan=1 pitch=55 vol=0
Time=11844  Note on, chan=1 pitch=70 vol=0
Time=11848  Note on, chan=1 pitch=58 vol=0
Time=12196  Note on, chan=1 pitch=68 vol=64
Time=12240  Note on, chan=1 pitch=68 vol=0
Time=12288  Note on, chan=1 pitch=70 vol=93
Time=12424  Note on, chan=1 pitch=70 vol=0
Time=12428  Note on, chan=1 pitch=68 vol=79
Time=12472  Note on, chan=1 pitch=68 vol=0
Time=12528  Note on, chan=1 pitch=70 vol=98
Time=12536  Note on, chan=1 pitch=53 vol=98
Time=12536  Note on, chan=1 pitch=63 vol=82
Time=12540  Note on, chan=1 pitch=59 vol=93
Time=12640  Parameter, chan=1 c1=64 c2=127
Time=12700  Note on, chan=1 pitch=63 vol=0
Time=12700  Note on, chan=1 pitch=70 vol=0
Time=12704  Note on, chan=1 pitch=59 vol=0
Time=12704  Note on, chan=1 pitch=53 vol=0
Time=12988  Parameter, chan=1 c1=64 c2=0
Time=13044  Note on, chan=1 pitch=75 vol=79
Time=13048  Note on, chan=1 pitch=63 vol=85
Time=13048  Note on, chan=1 pitch=70 vol=82
Time=13052  Note on, chan=1 pitch=58 vol=79
Time=13056  Note on, chan=1 pitch=52 vol=79
Time=13096  Parameter, chan=1 c1=64 c2=127
Time=13156  Note on, chan=1 pitch=52 vol=0
Time=13156  Note on, chan=1 pitch=75 vol=0
Time=13164  Note on, chan=1 pitch=63 vol=0
Time=13176  Note on, chan=1 pitch=58 vol=0
Time=13184  Note on, chan=1 pitch=70 vol=0
Time=13252  Parameter, chan=1 c1=64 c2=0
Time=13288  Note on, chan=1 pitch=73 vol=89
Time=13288  Note on, chan=1 pitch=61 vol=93
Time=13292  Note on, chan=1 pitch=58 vol=85
Time=13304  Note on, chan=1 pitch=52 vol=85
Time=13344  Parameter, chan=1 c1=64 c2=127
Time=13380  Note on, chan=1 pitch=52 vol=0
Time=13380  Note on, chan=1 pitch=58 vol=0
Time=13380  Note on, chan=1 pitch=61 vol=0
Time=13408  Note on, chan=1 pitch=73 vol=0
Time=13788  Parameter, chan=1 c1=64 c2=0
Time=13820  Note on, chan=1 pitch=60 vol=73
Time=13824  Note on, chan=1 pitch=72 vol=76
Time=13828  Note on, chan=1 pitch=67 vol=82
Time=13828  Note on, chan=1 pitch=56 vol=67
Time=13836  Note on, chan=1 pitch=55 vol=82
Time=14060  Note on, chan=1 pitch=60 vol=0
Time=14076  Note on, chan=1 pitch=67 vol=0
Time=14080  Note on, chan=1 pitch=55 vol=0
Time=14080  Note on, chan=1 pitch=56 vol=0
Time=14080  Note on, chan=1 pitch=72 vol=0
Time=14592  Note on, chan=1 pitch=64 vol=76
Time=14596  Note on, chan=1 pitch=67 vol=79
Time=14596  Note on, chan=1 pitch=56 vol=64
Time=14600  Note on, chan=1 pitch=50 vol=73
Time=14600  Note on, chan=1 pitch=60 vol=67
Time=14684  Parameter, chan=1 c1=64 c2=127
Time=14696  Note on, chan=1 pitch=50 vol=0
Time=14704  Note on, chan=1 pitch=60 vol=0
Time=14712  Note on, chan=1 pitch=64 vol=0
Time=14716  Note on, chan=1 pitch=56 vol=0
Time=14728  Note on, chan=1 pitch=67 vol=0
Time=14748  Parameter, chan=1 c1=64 c2=0
Time=14844  Note on, chan=1 pitch=50 vol=79
Time=14852  Note on, chan=1 pitch=65 vol=79
Time=14852  Note on, chan=1 pitch=56 vol=70
Time=14852  Note on, chan=1 pitch=68 vol=59
Time=14856  Note on, chan=1 pitch=60 vol=59
Time=14892  Note on, chan=1 pitch=65 vol=0
Time=14896  Note on, chan=1 pitch=60 vol=0
Time=14908  Note on, chan=1 pitch=50 vol=0
Time=14912  Note on, chan=1 pitch=68 vol=0
Time=14916  Note on, chan=1 pitch=56 vol=0
Time=15612  Note on, chan=1 pitch=67 vol=82
Time=15616  Note on, chan=1 pitch=70 vol=67
Time=15620  Note on, chan=1 pitch=59 vol=67
Time=15624  Note on, chan=1 pitch=53 vol=70
Time=15656  Note on, chan=1 pitch=59 vol=0
Time=15656  Note on, chan=1 pitch=67 vol=0
Time=15664  Note on, chan=1 pitch=53 vol=0
Time=15672  Note on, chan=1 pitch=70 vol=0
Time=16124  Note on, chan=1 pitch=68 vol=62
Time=16124  Note on, chan=1 pitch=63 vol=64
Time=16128  Note on, chan=1 pitch=58 vol=70
Time=16128  Note on, chan=1 pitch=72 vol=73
Time=16136  Note on, chan=1 pitch=52 vol=73
Time=16312  Parameter, chan=1 c1=64 c2=127
Time=16540  Note on, chan=1 pitch=63 vol=0
Time=16548  Note on, chan=1 pitch=72 vol=0
Time=16552  Note on, chan=1 pitch=68 vol=0
Time=16572  Note on, chan=1 pitch=58 vol=0
Time=16576  Note on, chan=1 pitch=52 vol=0
Time=16604  Parameter, chan=1 c1=64 c2=0
Time=16908  Note on, chan=1 pitch=67 vol=79
Time=16912  Note on, chan=1 pitch=70 vol=64
Time=16920  Note on, chan=1 pitch=56 vol=70
Time=16924  Note on, chan=1 pitch=60 vol=64
Time=16928  Note on, chan=1 pitch=55 vol=79
Time=16980  Parameter, chan=1 c1=64 c2=127
Time=16996  Note on, chan=1 pitch=67 vol=0
Time=17012  Note on, chan=1 pitch=55 vol=0
Time=17016  Note on, chan=1 pitch=60 vol=0
Time=17020  Note on, chan=1 pitch=70 vol=0
Time=17024  Note on, chan=1 pitch=56 vol=0
Time=17512  Parameter, chan=1 c1=64 c2=0
Time=17524  Note on, chan=1 pitch=68 vol=76
Time=17532  Note on, chan=1 pitch=56 vol=76
Time=17536  Note on, chan=1 pitch=65 vol=76
Time=17536  Note on, chan=1 pitch=50 vol=82
Time=17540  Note on, chan=1 pitch=60 vol=70
Time=17572  Note on, chan=1 pitch=65 vol=0
Time=17580  Note on, chan=1 pitch=60 vol=0
Time=17584  Note on, chan=1 pitch=50 vol=0
Time=17596  Note on, chan=1 pitch=56 vol=0
Time=17596  Note on, chan=1 pitch=68 vol=0
Time=18432  Note on, chan=1 pitch=68 vol=64
Time=18436  Note on, chan=1 pitch=61 vol=82
Time=18436  Note on, chan=1 pitch=65 vol=76
Time=18440  Note on, chan=1 pitch=72 vol=73
Time=18444  Note on, chan=1 pitch=56 vol=76
Time=18484  Parameter, chan=1 c1=64 c2=127
Time=18508  Note on, chan=1 pitch=65 vol=0
Time=18520  Note on, chan=1 pitch=72 vol=0
Time=18520  Note on, chan=1 pitch=61 vol=0
Time=18520  Note on, chan=1 pitch=68 vol=0
Time=18532  Note on, chan=1 pitch=56 vol=0
Time=19052  Parameter, chan=1 c1=64 c2=0
Time=19064  Note on, chan=1 pitch=61 vol=79
Time=19064  Note on, chan=1 pitch=67 vol=82
Time=19068  Note on, chan=1 pitch=72 vol=79
Time=19072  Note on, chan=1 pitch=55 vol=82
Time=19416  Parameter, chan=1 c1=64 c2=127
Time=19500  Note on, chan=1 pitch=55 vol=0
Time=19504  Note on, chan=1 pitch=67 vol=0
